A5A616	mgtS	b4599	Small protein MgtS
P00816	cynS	b0340	Cyanate hydratase (Cyanase) (EC 4.2.1.104) (Cyanate hydrolase) (Cyanate lyase)
P00887	aroH	b1704	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)
P00888	aroF	b2601	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)
P00895	trpE	b1264	Anthranilate synthase component 1 (AS) (ASI) (EC 4.1.3.27)
P00909	trpC	b1262	Tryptophan biosynthesis protein TrpCF [Includes: Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48); N-(5'-phospho-ribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24)]
P00934	thrC	b0004	Threonine synthase (TS) (EC 4.2.3.1)
P00944	xylA	b3565	Xylose isomerase (EC 5.3.1.5) (D-xylulose keto-isomerase)
P00954	trpS	b3384	Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)
P00961	glyS	b3559	Glycine--tRNA ligase beta subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase beta subunit) (GlyRS)
P02413	rplO	b3301	Large ribosomal subunit protein uL15 (50S ribosomal protein L15)
P02924	araF	b1901	L-arabinose-binding periplasmic protein (ABP)
P02932	phoE	b0241	Outer membrane porin PhoE (Outer membrane pore protein E)
P03014	pinE	b1158	Serine recombinase PinE (EC 3.1.22.-) (EC 6.5.1.-) (DNA-invertase PinE) (DNA-invertase from lambdoid prophage e14) (Site-specific recombinase PinE)
P03024	galR	b2837	HTH-type transcriptional regulator GalR (Galactose operon repressor)
P03817	mioC	b3742	Protein MioC
P04335	frsA	b0239	Esterase FrsA (EC 3.1.1.1) (Fermentation/respiration switch protein)
P04816	livK	b3458	Leucine-specific-binding protein (L-BP) (LS-BP)
P04951	kdsB	b0918	3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38) (CMP-2-keto-3-deoxyoctulosonic acid synthase) (CKS) (CMP-KDO synthase)
P05100	tag	b3549	DNA-3-methyladenine glycosylase 1 (EC 3.2.2.20) (3-methyladenine-DNA glycosylase I, constitutive) (TAG I) (DNA-3-methyladenine glycosidase I) (DNA-3-methyladenine glycosylase I)
P05459	pdxB	b2320	Erythronate-4-phosphate dehydrogenase (EC 1.1.1.290)
P05706	srlB	b2704	PTS system glucitol/sorbitol-specific EIIA component (EIIA-Gut) (EIII-Gut) (Glucitol/sorbitol-specific phosphotransferase enzyme IIA component)
P05707	srlD	b2705	Sorbitol-6-phosphate 2-dehydrogenase (EC 1.1.1.140) (Glucitol-6-phosphate dehydrogenase) (Ketosephosphate reductase)
P05719	hsdS	b4348	Type I restriction enzyme EcoKI specificity subunit (S protein) (Type I specificity subunit S.EcoKI) (S.EcoKI) (Type-1 restriction enzyme EcoKI specificity subunit)
P06610	btuE	b1710	Thioredoxin/glutathione peroxidase BtuE (EC 1.11.1.24) (EC 1.11.1.9)
P06720	melA	b4119	Alpha-galactosidase (EC 3.2.1.22) (Melibiase)
P06864	ebgA	b3076	Evolved beta-galactosidase subunit alpha (Beta-gal) (EC 3.2.1.23) (Lactase)
P06986	hisC	b2021	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase) (HPAT) (HspAT)
P06987	hisB	b2022	Histidine biosynthesis bifunctional protein HisB [Includes: Histidinol-phosphatase (EC 3.1.3.15); Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)]
P06989	hisI	b2026	Histidine biosynthesis bifunctional protein HisIE [Includes: Phosphoribosyl-AMP cyclohydrolase (PRA-CH) (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphatase (PRA-PH) (EC 3.6.1.31)]
P07018	tap	b1885	Methyl-accepting chemotaxis protein IV (MCP-IV) (Dipeptide chemoreceptor protein)
P07023	tyrA	b2600	T-protein [Includes: Chorismate mutase (CM) (EC 5.4.99.5); Prephenate dehydrogenase (PDH) (EC 1.3.1.12)]
P07109	hisP	b2306	Histidine/lysine/arginine/ornithine transport ATP-binding protein HisP (EC 7.4.2.1)
P07364	cheR	b1884	Chemotaxis protein methyltransferase (EC 2.1.1.80)
P07650	deoA	b4382	Thymidine phosphorylase (EC 2.4.2.4) (TdRPase)
P07762	glgB	b3432	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)
P07813	leuS	b0642	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)
P08178	purM	b2499	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)
P08189	fimF	b4318	Protein FimF
P08190	fimG	b4319	Protein FimG
P08194	glpT	b2240	Glycerol-3-phosphate transporter (G-3-P transporter) (G-3-P permease)
P08202	araA	b0062	L-arabinose isomerase (EC 5.3.1.4)
P08204	araB	b0063	Ribulokinase (EC 2.7.1.16)
P08331	cpdB	b4213	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase (EC 3.1.3.6) (EC 3.1.4.16)
P08365	chpS	b4224	Antitoxin ChpS
P08368	creB	b4398	Transcriptional regulatory protein CreB
P08400	phoR	b0400	Phosphate regulon sensor protein PhoR (EC 2.7.13.3)
P08401	creC	b4399	Sensor protein CreC (EC 2.7.13.3)
P08722	bglF	b3722	PTS system beta-glucoside-specific EIIBCA component (EIIBCA-Bgl) (EII-Bgl) [Includes: Beta-glucoside-specific phosphotransferase enzyme IIB component (EC 2.7.1.-) (PTS system beta-glucoside-specific EIIB component); Beta-glucoside permease IIC component (PTS system beta-glucoside-specific EIIC component); Beta-glucoside-specific phosphotransferase enzyme IIA component (PTS system beta-glucoside-specific EIIA component)]
P08957	hsdM	b4349	Type I restriction enzyme EcoKI methylase subunit (M protein) (EC 2.1.1.72) (Type I methyltransferase M.EcoKI) (M.EcoKI)
P09053	avtA	b3572	Valine--pyruvate aminotransferase (EC 2.6.1.66) (Alanine--valine transaminase) (Transaminase C)
P09151	leuA	b0074	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)
P09184	vsr	b1960	DNA mismatch endonuclease Vsr (EC 3.1.-.-) (Type II nicking enzyme) (V.EcoKDcm) (Very short patch repair protein) (Vsr mismatch endonuclease)
P09378	rhaR	b3906	HTH-type transcriptional activator RhaR (L-rhamnose operon transcriptional activator RhaR)
P09549	dedD	b2314	Cell division protein DedD
P09551	argT	b2310	Lysine/arginine/ornithine-binding periplasmic protein (LAO-binding protein)
P09836	uhpC	b3667	Membrane sensor protein UhpC
P0A6A6	leuC	b0072	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)
P0A6C5	argA	b2818	Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS) (NAGS)
P0A6E9	bioD2	b1593	ATP-dependent dethiobiotin synthetase BioD 2 (EC 6.3.3.3) (DTB synthetase 2) (DTBS 2) (Dethiobiotin synthase 2)
P0A6I3	coaA	b3974	Pantothenate kinase (EC 2.7.1.33) (Pantothenic acid kinase) (Rts protein)
P0A6I9	coaE	b0103	Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase)
P0A6J1	cysC	b2750	Adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase)
P0A6J8	ddlA	b0381	D-alanine--D-alanine ligase A (EC 6.3.2.4) (D-Ala-D-Ala ligase A) (D-alanylalanine synthetase A)
P0A6L9	hscB	b2527	Co-chaperone protein HscB (Hsc20)
P0A6S3	flgI	b1080	Flagellar P-ring protein (Basal body P-ring protein)
P0A6T9	gcvH	b2904	Glycine cleavage system H protein
P0A6U8	glgA	b3429	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)
P0A6V5	glpE	b3425	Thiosulfate sulfurtransferase GlpE (EC 2.8.1.1)
P0A6V8	glk	b2388	Glucokinase (EC 2.7.1.2) (Glucose kinase)
P0A6W9	gshA	b2688	Glutamate--cysteine ligase (EC 6.3.2.2) (Gamma-ECS) (GCS) (Gamma-glutamylcysteine synthetase)
P0A722	lpxA	b0181	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (UDP-N-acetylglucosamine acyltransferase) (EC 2.3.1.129)
P0A734	minE	b1174	Cell division topological specificity factor
P0A752	nadD	b0639	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)
P0A756	kefG	b3351	Glutathione-regulated potassium-efflux system ancillary protein KefG (Putative quinone oxidoreductase KefG) (EC 1.6.5.2)
P0A761	nanE	b3223	Putative N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9) (ManNAc-6-P epimerase)
P0A766	rsxA	b1627	Ion-translocating oxidoreductase complex subunit A (EC 7.-.-.-) (Rsx electron transport complex subunit A)
P0A780	nusB	b0416	Transcription antitermination protein NusB (Antitermination factor NusB) (N utilization substance protein B)
P0A7A5	pcm	b2743	Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl methyltransferase) (Protein-beta-aspartate methyltransferase) (PIMT)
P0A7D1	pth	b1204	Peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29)
P0A7D7	purC	b2476	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)
P0A7F3	pyrI	b4244	Aspartate carbamoyltransferase regulatory chain
P0A7H0	recF	b3700	DNA replication and repair protein RecF
P0A7H3	recO	b2565	DNA repair protein RecO (Recombination protein O)
P0A7I0	prfA	b1211	Peptide chain release factor RF1 (RF-1)
P0A7N1	ykgM	b0296	Large ribosomal subunit protein bL31B (50S ribosomal protein L31 type B)
P0A7Q1	rpmI	b1717	Large ribosomal subunit protein bL35 (50S ribosomal protein L35) (Ribosomal protein A)
P0A7Y8	rnpA	b3704	Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5)
P0A805	frr	b0172	Ribosome-recycling factor (RRF) (Ribosome-releasing factor)
P0A843	tatE	b0627	Sec-independent protein translocase protein TatE
P0A877	trpA	b1260	Tryptophan synthase alpha chain (EC 4.2.1.20)
P0A881	trpR	b4393	Trp operon repressor
P0A8A4	ppsR	b1703	Phosphoenolpyruvate synthase regulatory protein (PEP synthase regulatory protein) (PSRP) (EC 2.7.11.33) (EC 2.7.4.28) (Pyruvate, water dikinase regulatory protein)
P0A8A8	rimP	b3170	Ribosome maturation factor RimP
P0A8E7	yajQ	b0426	UPF0234 protein YajQ
P0A8F4	udk	b2066	Uridine kinase (EC 2.7.1.48) (Cytidine monophosphokinase) (Uridine monophosphokinase)
P0A8H8	yacG	b0101	DNA gyrase inhibitor YacG
P0A8P1	aat	b0885	Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6) (L/F-transferase) (Leucyltransferase) (Phenyalanyltransferase)
P0A8Q6	clpS	b0881	ATP-dependent Clp protease adapter protein ClpS
P0A8T1	prmA	b3259	Ribosomal protein L11 methyltransferase (L11 Mtase) (EC 2.1.1.-)
P0A8U6	metJ	b3938	Met repressor (Met regulon regulatory protein MetJ)
P0A8W2	slyA	b1642	Transcriptional regulator SlyA
P0A8Z3	ybgC	b0736	Acyl-CoA thioester hydrolase YbgC (Acyl-CoA thioesterase) (EC 3.1.2.-)
P0A908	mipA	b1782	MltA-interacting protein
P0A927	tsx	b0411	Nucleoside-specific channel-forming protein Tsx
P0A996	glpC	b2243	Anaerobic glycerol-3-phosphate dehydrogenase subunit C (G-3-P dehydrogenase)
P0A9C3	galM	b0756	Aldose 1-epimerase (EC 5.1.3.3) (Galactose mutarotase) (Type-1 mutarotase)
P0A9D4	cysE	b3607	Serine acetyltransferase (SAT) (EC 2.3.1.30)
P0A9E2	soxS	b4062	Regulatory protein SoxS
P0A9F1	mntR	b0817	Transcriptional regulator MntR (Manganese transport regulator)
P0A9F3	cysB	b1275	HTH-type transcriptional regulator CysB (Cys regulon transcriptional activator)
P0A9H1	mug	b3068	G/U mismatch-specific DNA glycosylase (EC 3.2.2.28) (Double-strand-specific uracil glycosylase) (Mismatch-specific uracil DNA-glycosylase) (MUG)
P0A9H5	btuR	b1270	Corrinoid adenosyltransferase (EC 2.5.1.17) (Cob(II)alamin adenosyltransferase) (Cob(II)yrinic acid a,c-diamide adenosyltransferase) (Cobinamide/cobalamin adenosyltransferase)
P0A9I1	citE	b0616	Citrate lyase subunit beta (Citrase beta chain) (EC 4.1.3.6) (Citrate (pro-3S)-lyase subunit beta) (Citryl-CoA lyase subunit) (EC 4.1.3.34)
P0A9I5	napD	b2207	Chaperone NapD (NapA signal peptide-binding chaperone NapD)
P0A9L5	ppiC	b3775	Peptidyl-prolyl cis-trans isomerase C (PPIase C) (EC 5.2.1.8) (Par10) (Parvulin) (Rotamase C)
P0A9L8	proC	b0386	Pyrroline-5-carboxylate reductase (P5C reductase) (P5CR) (EC 1.5.1.2) (PCA reductase)
P0A9P9	idnO	b4266	5-keto-D-gluconate 5-reductase (EC 1.1.1.69)
P0A9S3	gatD	b2091	Galactitol 1-phosphate 5-dehydrogenase (EC 1.1.1.251)
P0A9U1	ybhF	b0794	Probable multidrug ABC transporter ATP-binding protein YbhF
P0A9W0	ulaR	b4191	HTH-type transcriptional regulator UlaR
P0A9W6	ibaG	b3190	Acid stress protein IbaG
P0A9X1	znuC	b1858	Zinc import ATP-binding protein ZnuC (EC 7.2.2.20)
P0AA39	rluC	b1086	Ribosomal large subunit pseudouridine synthase C (EC 5.4.99.24) (23S rRNA pseudouridine(955/2504/2580) synthase) (rRNA pseudouridylate synthase C) (rRNA-uridine isomerase C)
P0AA53	qmcA	b0489	Protein QmcA
P0AA60	yghB	b3009	Inner membrane protein YghB
P0AA63	yqjA	b3095	Inner membrane protein YqjA
P0AA67	rhtA	b0813	Threonine/homoserine exporter RhtA
P0AA80	garP	b3127	Probable galactarate/D-glucarate transporter GarP
P0AA86	dsbE	b2195	Thiol:disulfide interchange protein DsbE (Cytochrome c biogenesis protein CcmG)
P0AAA7	wzxE	b3792	Lipid III flippase
P0AAC0	uspE	b1333	Universal stress protein E
P0AAD2	mtr	b3161	Tryptophan-specific transport protein (Tryptophan permease)
P0AAD4	tyrP	b1907	Tyrosine-specific transport system (Tyrosine permease) (Tyrosine:H(+) symporter)
P0AAF3	araG	b1900	Arabinose import ATP-binding protein AraG (EC 7.5.2.12)
P0AAF6	artP	b0864	Arginine transport ATP-binding protein ArtP (EC 7.4.2.1)
P0AAG5	mdlB	b0449	Multidrug resistance-like ATP-binding protein MdlB (EC 7.6.2.2)
P0AAG8	mglA	b2149	Galactose/methyl galactoside import ATP-binding protein MglA (EC 7.5.2.11)
P0AAH8	sapF	b1290	Putrescine export system ATP-binding protein SapF
P0AAJ8	hybA	b2996	Hydrogenase-2 operon protein HybA
P0AAK1	hycB	b2724	Formate hydrogenlyase subunit 2 (FHL subunit 2) (Hydrogenase-3 component B)
P0AAL0	napF	b2208	Ferredoxin-type protein NapF
P0AAL3	napG	b2205	Ferredoxin-type protein NapG (Ubiquinol--[NapC cytochrome c] reductase NapG subunit)
P0AAN9	iraP	b0382	Anti-adapter protein IraP
P0AAP1	dgcC	b0385	Probable diguanylate cyclase DgcC (DGC) (EC 2.7.7.65)
P0AAT4	ybdG	b0577	Miniconductance mechanosensitive channel YbdG
P0AAT6	rsfS	b0637	Ribosomal silencing factor RsfS
P0AB10	pqiC	b0952	Intermembrane transport lipoprotein PqiC
P0AB18	tusE	b0969	Sulfurtransferase TusE (EC 2.8.1.-) (tRNA 2-thiouridine synthesizing protein E)
P0AB24	efeO	b1018	Iron uptake system component EfeO
P0AB40	bhsA	b1112	Multiple stress resistance protein BhsA (Copper-induced outer membrane component)
P0AB65	yccX	b0968	Acylphosphatase (EC 3.6.1.7) (Acylphosphate phosphohydrolase)
P0AB67	pntB	b1602	NAD(P) transhydrogenase subunit beta (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase subunit beta) (Pyridine nucleotide transhydrogenase subunit beta)
P0AB85	apbE	b2214	FAD:protein FMN transferase (EC 2.7.1.180) (Flavin transferase)
P0AB93	arsB	b3502	Arsenical pump membrane protein (Arsenic efflux pump protein)
P0ABA0	atpF	b3736	ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b)
P0ABC3	hflC	b4175	Modulator of FtsH protease HflC
P0ABC9	betT	b0314	High-affinity choline transport protein
P0ABE9	cynT	b0339	Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase 1)
P0ABF4	eutM	b2457	Bacterial microcompartment shell protein EutM (Bacterial microcompartment protein homohexamer) (BMC-H) (Ethanolamine utilization protein EutM)
P0ABF8	pgsA	b1912	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5) (Phosphatidylglycerophosphate synthase) (PGP synthase)
P0ABG1	cdsA	b0175	Phosphatidate cytidylyltransferase (EC 2.7.7.41) (CDP-DAG synthase) (CDP-DG synthase) (CDP-diacylglycerol synthase) (CDS) (CDP-diglyceride pyrophosphorylase) (CDP-diglyceride synthase) (CTP:phosphatidate cytidylyltransferase)
P0ABL1	nrfB	b4071	Cytochrome c-type protein NrfB
P0ABM1	ccmC	b2199	Heme exporter protein C (Cytochrome c-type biogenesis protein CcmC)
P0ABM9	ccmH	b2194	Cytochrome c-type biogenesis protein CcmH
P0ABQ2	garR	b3125	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60) (Tartronate semialdehyde reductase) (TSAR)
P0ABR5	hcaE	b2538	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha (EC 1.14.12.19)
P0ABR7	yeaW	b1802	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)
P0ABT5	dusB	b3260	tRNA-dihydrouridine synthase B (EC 1.3.1.-)
P0ABT8	yijE	b3943	Probable cystine transporter YijE
P0ABU5	elbB	b3209	Glyoxalase ElbB (EC 4.2.1.-) (Sigma cross-reacting protein 27A) (SCRP-27A)
P0ABW0	hcaC	b2540	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
P0ABY7	flhC	b1891	Flagellar transcriptional regulator FlhC
P0ABZ4	kdsC	b3198	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC (EC 3.1.3.45) (KDO 8-P phosphatase)
P0AC28	ygfA	b2912	5-formyltetrahydrofolate cyclo-ligase (5-FCL) (EC 6.3.3.2) (5,10-methenyltetrahydrofolate synthetase) (MTHFS)
P0AC51	zur	b4046	Zinc uptake regulation protein (Zinc uptake regulator)
P0AC62	grxC	b3610	Glutaredoxin 3 (Grx3)
P0AC86	glgP	b3428	Glycogen phosphorylase (EC 2.4.1.1)
P0AC94	gntP	b4321	High-affinity gluconate transporter (Gluconate permease 3) (Gnt-III system)
P0ACA3	sspA	b3229	Stringent starvation protein A
P0ACA7	gstB	b0838	Glutathione S-transferase GstB (EC 2.5.1.18)
P0ACG4	hokC	b4412	Toxic protein HokC (Protein Gef)
P0ACH5	marA	b1531	Multiple antibiotic resistance protein MarA
P0ACL5	glcC	b2980	Glc operon transcriptional activator (Glc regulatory protein) (HTH-type transcriptional regulator GlcC)
P0ACL7	lldR	b3604	Putative L-lactate dehydrogenase operon regulatory protein
P0ACP1	cra	b0080	Catabolite repressor/activator (Fructose repressor)
P0ACQ0	rbsR	b3753	Ribose operon repressor
P0ACR9	mprA	b2684	Transcriptional repressor MprA (Protein EmrR)
P0ACS2	soxR	b4063	Redox-sensitive transcriptional activator SoxR
P0ACS5	zntR	b3292	HTH-type transcriptional regulator ZntR (Zn(II)-responsive regulator of zntA)
P0ACS9	acrR	b0464	HTH-type transcriptional regulator AcrR (Potential acrAB operon repressor)
P0ACU0	cecR	b0796	HTH-type transcriptional dual regulator CecR (Regulator of cefoperazone and chloramphenicol sensitivity)
P0ACU2	rutR	b1013	HTH-type transcriptional regulator RutR (Rut operon repressor)
P0ACU5	fabR	b3963	HTH-type transcriptional repressor FabR
P0ACV2	lpxP	b2378	Lipid A biosynthesis palmitoleoyltransferase (EC 2.3.1.242) (Kdo(2)-lipid IV(A) palmitoleoyltransferase)
P0ACV4	lapA	b1279	Lipopolysaccharide assembly protein A
P0ACZ4	evgA	b2369	DNA-binding transcriptional activator EvgA
P0ACZ8	cusR	b0571	Transcriptional regulatory protein CusR
P0AD01	dcuR	b4124	Transcriptional regulatory protein DcuR
P0AD42	pgpC	b2560	Phosphatidylglycerophosphatase C (EC 3.1.3.27) (Phosphatidylglycerolphosphate phosphatase C) (PGP phosphatase C)
P0AD89	tnaC	b3707	Tryptophanase operon leader peptide (TnaC)
P0AD96	livJ	b3460	Leu/Ile/Val-binding protein (LIV-BP)
P0ADA3	nlpD	b2742	Murein hydrolase activator NlpD
P0ADC3	lolC	b1116	Lipoprotein-releasing system transmembrane protein LolC
P0ADC6	lptG	b4262	Lipopolysaccharide export system permease protein LptG
P0ADD2	yjjB	b4363	Probable succinate transporter subunit YjjB
P0ADD5	yjjP	b4364	Probable succinate transporter subunit YjjP
P0ADE6	kbp	b2665	Potassium binding protein Kbp (K(+) binding protein Kbp)
P0ADF6	edd	b1851	Phosphogluconate dehydratase (EC 4.2.1.12) (6-phosphogluconate dehydratase) (Entner-Doudoroff dehydrase)
P0ADF8	ilvN	b3670	Acetolactate synthase isozyme 1 small subunit (EC 2.2.1.6) (Acetohydroxy-acid synthase I small subunit) (AHAS-I) (ALS-I)
P0ADG1	ilvM	b3769	Acetolactate synthase isozyme 2 small subunit (EC 2.2.1.6) (ALS-II) (Acetohydroxy-acid synthase II small subunit) (AHAS-II)
P0ADP5	bioP	b3827	Biotin transporter (Plasmamembrane biotin transport protein)
P0ADP7	ubiJ	b3834	Ubiquinone biosynthesis accessory factor UbiJ
P0ADR6	rlmM	b2806	Ribosomal RNA large subunit methyltransferase M (EC 2.1.1.186) (23S rRNA (cytidine2498-2'-O)-methyltransferase) (23S rRNA 2'-O-ribose methyltransferase RlmM)
P0ADU2	ygiN	b3029	Probable quinol monooxygenase YgiN (QuMo) (EC 1.-.-.-)
P0ADV7	mlaC	b3192	Intermembrane phospholipid transport system binding protein MlaC
P0ADW3	zapG	b3233	Z-ring associated protein G (Cell division protein ZapG) (LPS assembly protein LapD)
P0ADZ7	yajC	b0407	Sec translocon accessory complex subunit YajC
P0AE16	ampG	b0433	Anhydromuropeptide permease (AmpG permease) (Muropeptide:H(+) symporter)
P0AE76	cobU	b1993	Bifunctional adenosylcobalamin biosynthesis protein CobU (Adenosylcobinamide kinase) (EC 2.7.1.156) (Adenosylcobinamide-phosphate guanylyltransferase) (EC 2.7.7.62)
P0AEA2	csgG	b1037	Curli production assembly/transport component CsgG
P0AEA5	cyoE	b0428	Protoheme IX farnesyltransferase (EC 2.5.1.141) (Heme B farnesyltransferase) (Heme O synthase)
P0AEB5	ynaI	b1330	Low conductance mechanosensitive channel YnaI
P0AED0	uspA	b3495	Universal stress protein A
P0AED5	uvrY	b1914	Response regulator UvrY
P0AEF4	dpiA	b0620	Transcriptional regulatory protein DpiA (Destabilizer of plasmid inheritance)
P0AEI4	rimO	b0835	Ribosomal protein uS12 methylthiotransferase RimO (uS12 MTTase) (uS12 methylthiotransferase) (EC 2.8.4.4) (Ribosomal protein uS12 (aspartate(89)-C(3))-methylthiotransferase) (Ribosome maturation factor RimO)
P0AEI6	nudJ	b1134	Phosphatase NudJ (EC 3.6.1.-)
P0AEJ8	eutN	b2456	Bacterial microcompartment shell vertex protein EutN (Ethanolamine catabolic microcompartment shell protein EutN) (Ethanolamine utilization protein EutN)
P0AER3	gltJ	b0654	Glutamate/aspartate import permease protein GltJ
P0AER5	gltK	b0653	Glutamate/aspartate import permease protein GltK
P0AER8	gltS	b3653	Sodium/glutamate symporter (Glutamate permease)
P0AEU0	hisJ	b2309	Histidine-binding periplasmic protein (HBP)
P0AEZ7	mltD	b0211	Membrane-bound lytic murein transglycosylase D (EC 4.2.2.n1) (Murein hydrolase D) (Regulatory protein DniR)
P0AEZ9	moaB	b0782	Molybdenum cofactor biosynthesis protein B
P0AF03	mog	b0009	Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75)
P0AF26	narJ	b1226	Nitrate reductase molybdenum cofactor assembly chaperone NarJ (Redox enzyme maturation protein NarJ)
P0AF98	lptF	b4261	Lipopolysaccharide export system permease protein LptF
P0AFA9	nikC	b3478	Nickel transport system permease protein NikC
P0AFG0	nusG	b3982	Transcription termination/antitermination protein NusG
P0AFH0	ogt	b1335	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (6-O-methylguanine-DNA methyltransferase) (MGMT) (O-6-methylguanine-DNA-alkyltransferase)
P0AFH2	oppB	b1244	Oligopeptide transport system permease protein OppB
P0AFH6	oppC	b1245	Oligopeptide transport system permease protein OppC
P0AFJ5	phoB	b0399	Phosphate regulon transcriptional regulatory protein PhoB
P0AFK4	potB	b1125	Spermidine/putrescine transport system permease protein PotB
P0AFK6	potC	b1124	Spermidine/putrescine transport system permease protein PotC
P0AFK9	potD	b1123	Spermidine/putrescine-binding periplasmic protein (SPBP)
P0AFL1	potI	b0857	Putrescine transport system permease protein PotI
P0AFL9	pqiA	b0950	Intermembrane transport protein PqiA (Paraquat-inducible protein A)
P0AFN2	pspC	b1306	Phage shock protein C
P0AFP2	atl	b0454	DNA base-flipping protein (Alkyltransferase-like protein ATL)
P0AFP9	ybhR	b0792	Probable multidrug ABC transporter permease YbhR
P0AFQ2	ybhS	b0793	Probable multidrug ABC transporter permease YbhS
P0AFR9	ydcV	b1443	Inner membrane ABC transporter permease protein YdcV
P0AFS5	tqsA	b1601	AI-2 transport protein TqsA (Transport of quorum-sensing signal protein)
P0AFT5	btsR	b2125	Transcriptional regulatory protein BtsR
P0AFU8	ribC	b1662	Riboflavin synthase (RS) (EC 2.5.1.9)
P0AFW2	rmf	b0953	Ribosome modulation factor (RMF) (Hibernation factor RMF) (Protein E)
P0AFW4	rnk	b0610	Regulator of nucleoside diphosphate kinase
P0AFX4	rsd	b3995	Regulator of sigma D
P0AFZ7	trkH	b3849	Trk system potassium uptake protein TrkH
P0AG00	wzzE	b3785	ECA polysaccharide chain length modulation protein
P0AG03	ubiX	b2311	Flavin prenyltransferase UbiX (EC 2.5.1.129)
P0AG20	relA	b2784	GTP pyrophosphokinase (EC 2.7.6.5) ((p)ppGpp synthase) (ATP:GTP 3'-pyrophosphotransferase) (ppGpp synthase I)
P0AG40	ribF	b0025	Bifunctional riboflavin kinase/FMN adenylyltransferase (Riboflavin biosynthesis protein RibF) [Includes: Riboflavin kinase (EC 2.7.1.26) (Flavokinase); FMN adenylyltransferase (EC 2.7.7.2) (FAD pyrophosphorylase) (FAD synthase)]
P0AG44	rplQ	b3294	Large ribosomal subunit protein bL17 (50S ribosomal protein L17)
